LayerName,Date&Time,Broadcast,Downlink,Uplink,WLAN,TDD,Total,Total (RMS),GPS Lat,GPS Lon,GPS Altitude,GPS HDOP,GPS# Satellites,GPS Speed,Marker
C BK Bensonhurst_agg,2024-11-08 10:41:33,0.677152058255751,1.682576230071018,0.105595738550379,0.1318518486787349,0.8912234007250931,2.027908331261548,2.1605,40.61824333333333,-73.99939833333333,7.0,2.46,4,5.05,
C BK Bensonhurst_agg,2024-11-08 10:41:40,0.761896712159857,2.71812614129661,0.0819526082562355,0.1141166946594581,0.55248799081971,2.879874676092695,2.9479,40.61815833333333,-73.99937833333334,8.8,1.47,5,4.63,
C BK Bensonhurst_agg,2024-11-08 10:41:47,0.5366214773935162,1.910512551646809,0.0870113785662542,0.1394811456792638,0.9919861238948859,2.224653514595025,2.2634,40.618095,-73.999385,10.6,1.47,5,4.28,
C BK Bensonhurst_agg,2024-11-08 10:41:54,0.350168459459158,4.531462656802988,0.0689724582713999,0.6613815918212419,3.27686532680243,5.642410915557286,5.685,40.61801166666667,-73.99938333333333,14.7,1.47,5,5.17,
C BK Bensonhurst_agg,2024-11-08 10:42:01,0.7563651961850175,2.795522088984453,0.2230705717928746,0.4064869247589643,2.747797199576417,4.019006545155158,4.3522,40.617935,-73.999395,17.3,1.84,4,4.94,
C BK Bensonhurst_agg,2024-11-08 10:42:08,0.6623196811208316,4.784835279296456,0.1491846171694656,0.2511958797432792,1.638283849032273,5.109074808612613,5.2083,40.61786166666667,-73.999405,19.6,1.47,5,4.18,
C BK Bensonhurst_agg,2024-11-08 10:42:15,0.5588751828449712,4.050908110535216,0.1081404179758891,0.2061134396394374,1.13342049566787,4.249825538772152,4.3029,40.61772,-73.99950166666666,15.7,1.47,5,4.94,
C BK Bensonhurst_agg,2024-11-08 10:42:22,0.4445524378518241,1.050077720933075,0.0476431527084428,0.1247197658753415,0.8499943117456729,1.428497570876479,1.4408,40.61765,-73.99954333333334,16.0,1.47,5,4.41,
C BK Bensonhurst_agg,2024-11-08 10:42:29,0.1077369481654274,0.4052387197689777,0.02989013215092901,0.07752909131416415,0.3667430026599008,0.563231994829839,0.5811,40.61758166666667,-73.99962833333333,16.9,1.47,5,4.14,
C BK Bensonhurst_agg,2024-11-08 10:42:36,0.1163748254563675,0.242587901594453,0.01525909564816998,0.0561578133477435,0.3039296464644409,0.4100631170929665,0.4153,40.617525,-73.999645,18.1,1.47,5,4.43,
C BK Bensonhurst_agg,2024-11-08 10:42:43,0.06009925124325593,0.1917488461503745,0.0170985379491932,0.06389084441451688,0.0968220016318605,0.232655195514736,0.2429,40.61747,-73.99970833333333,18.4,1.47,5,2.29,
C BK Bensonhurst_agg,2024-11-08 10:42:50,0.0621761208182048,0.1239729809272972,0.01503761949245957,0.0577843404392574,0.1887459403536934,0.2417133839902127,0.2462,40.617445,-73.99969666666667,18.6,1.47,5,1.49,
C BK Bensonhurst_agg,2024-11-08 10:42:57,0.06878808036280704,0.316898721991743,0.01412161463856028,0.07126324438306189,0.2732955177093104,0.4302614437757582,0.4369,40.61736333333333,-73.99965666666667,19.3,1.47,5,4.85,
C BK Bensonhurst_agg,2024-11-08 10:43:04,0.5044231854306461,1.130359305707703,0.0291444677426094,0.07850318464877716,0.695717615128437,1.422388856817994,1.4406,40.61726666666667,-73.9997,19.7,1.36,6,5.22,
C BK Bensonhurst_agg,2024-11-08 10:43:11,0.3997759997798767,0.5705667971412287,0.03892210169042776,0.07980839554833816,0.2884335278708077,0.7592401003635147,0.8241,40.61717666666667,-73.99974333333333,19.8,1.36,6,5.63,
C BK Bensonhurst_agg,2024-11-08 10:43:18,0.1851437009460489,0.656518720220528,0.02491987158875423,0.05776703212040582,0.2245103561085769,0.7208730470755582,0.7554,40.617085,-73.99976833333334,19.6,1.36,6,5.84,
C BK Bensonhurst_agg,2024-11-08 10:43:25,0.1187974747206354,0.3407839931686933,0.02388576982221842,0.05584756037643898,0.3757689582709034,0.5245363285798228,0.5336,40.61700666666667,-73.99977666666666,18.9,1.36,6,5.56,
C BK Bensonhurst_agg,2024-11-08 10:43:32,0.1925783736560261,0.4899372408788701,0.03949734168270062,0.06467410610128292,0.3338048232126073,0.6279278382107293,0.6723,40.61692,-73.99981333333334,18.6,1.36,6,4.17,
